Date,KOSPI,FX
2015-01-02,"1,926.44","1,103.50"
2015-01-05,"1,915.75","1,109.90"
2015-01-06,"1,882.45","1,098.80"
2015-01-07,"1,883.83","1,099.90"
2015-01-08,"1,904.65","1,096.90"
2015-01-09,"1,924.70","1,090.00"
2015-01-12,"1,920.95","1,081.40"
2015-01-13,"1,917.14","1,083.50"
2015-01-14,"1,913.66","1,082.20"
2015-01-15,"1,914.14","1,083.30"
2015-01-16,"1,888.13","1,077.30"
2015-01-19,"1,902.62","1,078.00"
2015-01-20,"1,918.31","1,088.40"
2015-01-21,"1,921.23","1,083.40"
2015-01-22,"1,920.82","1,084.90"
2015-01-23,"1,936.09","1,084.10"
2015-01-26,"1,935.68","1,080.80"
2015-01-27,"1,952.40","1,079.80"
2015-01-28,"1,961.58","1,084.50"
2015-01-29,"1,951.02","1,093.90"
2015-01-30,"1,949.26","1,093.50"
2015-02-02,"1,952.68","1,103.30"
2015-02-03,"1,951.96","1,097.40"
2015-02-04,"1,962.79","1,084.10"
2015-02-05,"1,952.84","1,090.50"
2015-02-06,"1,955.52","1,089.70"
2015-02-09,"1,947.00","1,094.90"
2015-02-10,"1,935.86","1,089.70"
2015-02-11,"1,945.70","1,097.70"
2015-02-12,"1,941.63","1,110.70"
2015-02-13,"1,957.50","1,097.00"
2015-02-16,"1,958.23","1,102.40"
2015-02-17,"1,961.45","1,101.80"
2015-02-23,"1,968.39","1,108.70"
2015-02-24,"1,976.12","1,109.90"
2015-02-25,"1,990.47","1,099.00"
2015-02-26,"1,993.08","1,097.20"
2015-02-27,"1,985.80","1,098.40"
2015-03-02,"1,996.81","1,100.80"
2015-03-03,"2,001.38","1,096.40"
2015-03-04,"1,998.29","1,097.70"
2015-03-05,"1,998.38","1,101.30"
2015-03-06,"2,012.94","1,098.70"
2015-03-09,"1,992.82","1,112.10"
2015-03-10,"1,984.77","1,122.60"
2015-03-11,"1,980.83","1,126.50"
2015-03-12,"1,970.59","1,126.40"
2015-03-13,"1,985.79","1,128.50"
2015-03-16,"1,987.33","1,131.50"
2015-03-17,"2,029.91","1,128.90"
2015-03-18,"2,028.45","1,129.90"
2015-03-19,"2,037.89","1,117.20"
2015-03-20,"2,037.24","1,123.00"
2015-03-23,"2,036.59","1,114.60"
2015-03-24,"2,041.37","1,104.60"
2015-03-25,"2,042.81","1,100.80"
2015-03-26,"2,022.56","1,108.00"
2015-03-27,"2,019.80","1,103.30"
2015-03-30,"2,030.04","1,104.90"
2015-03-31,"2,041.03","1,109.50"
2015-04-01,"2,028.45","1,102.40"
2015-04-02,"2,029.07","1,095.50"
2015-04-03,"2,045.42","1,092.70"
2015-04-06,"2,046.43","1,084.80"
2015-04-07,"2,047.03","1,088.50"
2015-04-08,"2,059.26","1,091.00"
2015-04-09,"2,058.87","1,092.30"
2015-04-10,"2,087.76","1,092.70"
2015-04-13,"2,098.92","1,098.60"
2015-04-14,"2,111.72","1,094.00"
2015-04-15,"2,119.96","1,096.80"
2015-04-16,"2,139.90","1,088.90"
2015-04-17,"2,143.50","1,083.70"
2015-04-20,"2,146.71","1,079.20"
2015-04-21,"2,144.79","1,083.40"
2015-04-22,"2,143.89","1,079.60"
2015-04-23,"2,173.41","1,082.20"
2015-04-24,"2,159.80","1,079.40"
2015-04-27,"2,157.54","1,073.00"
2015-04-28,"2,147.67","1,070.00"
2015-04-29,"2,142.63","1,068.60"
2015-04-30,"2,127.17","1,072.40"
2015-05-04,"2,132.23","1,079.20"
2015-05-06,"2,104.58","1,080.00"
2015-05-07,"2,091.00","1,089.70"
2015-05-08,"2,085.52","1,088.30"
2015-05-11,"2,097.38","1,091.30"
2015-05-12,"2,096.77","1,095.80"
2015-05-13,"2,114.16","1,099.70"
2015-05-14,"2,120.33","1,090.50"
2015-05-15,"2,106.50","1,085.70"
2015-05-18,"2,113.72","1,085.60"
2015-05-19,"2,120.85","1,088.10"
2015-05-20,"2,139.54","1,096.00"
2015-05-21,"2,122.81","1,094.00"
2015-05-22,"2,146.10","1,090.10"
