country,date,Y,C,G,I,EX,IM
CAN,1990-01-01,1015714.7,518707.4,271355.6,223461.1,207736.8,200021.9
DEU,1990-01-01,3220806.5,1811014.8,569128.8,725261.2,527153.8,489620.3
FRA,1990-01-01,2244890.8,1170205.4,554966.9,517196.6,352329.9,353194.4
GBR,1990-01-01,2038060.5,1141647.3,450827.1,404835.9,345478.9,331416.2
IRL,1990-01-01,99243.7,47489.0,21623.8,23005.3,29526.0,33508.4
ITA,1990-01-01,2367413.3,1370067.2,498668.7,482494.9,367618.3,362964.6
JPN,1990-01-01,4157427.8,2268122.9,619157.5,1435921.9,296330.3,387406.6
KOR,1990-01-01,574706.9,364524.3,100549.4,215160.4,59071.6,91519.8
MEX,1990-01-01,1369123.5,829927.7,173806.6,271180.9,181570.0,153058.0
USA,1990-01-01,10586013.9,6652253.3,2058127.8,1807710.7,656209.0,710056.9
CAN,1990-04-01,1011639.4,513004.9,268140.7,218060.8,215297.9,200508.0
DEU,1990-04-01,3236642.0,1831529.0,575109.7,721866.7,510684.1,494919.7
FRA,1990-04-01,2256951.6,1177099.0,557087.4,519127.1,343192.9,355750.1
GBR,1990-04-01,2051775.3,1154707.7,452507.6,399064.4,344714.6,330527.2
IRL,1990-04-01,101287.4,47469.6,21979.9,23665.3,30056.9,33664.8
ITA,1990-04-01,2374628.8,1387423.9,502732.9,485835.9,386152.7,370764.2
JPN,1990-04-01,4288551.8,2345559.6,628565.6,1468536.5,303291.3,391574.3
KOR,1990-04-01,587662.4,372525.7,102575.1,222357.8,59682.7,94023.4
MEX,1990-04-01,1398830.8,852497.4,181445.2,285463.3,137229.9,153397.6
USA,1990-04-01,10624437.9,6672518.1,2062818.2,1773758.7,664369.0,708866.3
CAN,1990-07-01,1004389.3,513307.8,274063.9,212077.7,214049.7,196716.7
DEU,1990-07-01,3304803.5,1849201.8,572859.4,732976.1,576624.6,532994.9
FRA,1990-07-01,2271617.2,1177997.0,563753.0,522012.4,348651.1,357334.9
GBR,1990-07-01,2029248.0,1147883.5,456116.9,395407.1,344295.8,324936.8
IRL,1990-07-01,102561.3,47507.3,22233.2,23732.4,30403.2,33713.4
ITA,1990-07-01,2378436.4,1384216.0,505318.6,479776.5,384530.8,368979.4
JPN,1990-07-01,4360459.7,2367765.6,630287.9,1508857.5,301197.6,386877.1
KOR,1990-07-01,608487.6,380417.5,103659.3,238732.4,62541.3,97035.9
MEX,1990-07-01,1417912.8,876809.0,180634.0,295589.6,167850.1,175778.4
USA,1990-07-01,10631511.8,6698952.5,2062656.5,1758495.8,669397.6,706003.7
CAN,1990-10-01,995446.1,511669.3,277118.3,204472.8,208368.4,194082.5
DEU,1990-10-01,3362982.0,1861940.3,575642.7,748251.2,606479.8,560932.1
FRA,1990-10-01,2270526.4,1187284.7,567769.4,521647.0,353851.3,355173.5
GBR,1990-10-01,2018956.2,1141125.6,460190.9,391014.9,347101.7,319356.4
IRL,1990-10-01,103027.6,47652.8,22367.7,23215.7,30613.9,33734.2
ITA,1990-10-01,2362986.4,1390051.5,508472.0,477460.3,391747.8,394340.0
JPN,1990-10-01,4352175.7,2345474.9,639211.5,1534694.7,312352.0,408097.0
KOR,1990-10-01,620089.4,388700.6,105134.2,242593.6,62378.3,101560.8
MEX,1990-10-01,1435933.8,878474.6,182584.4,310220.7,179219.6,180749.0
USA,1990-10-01,10534722.1,6647990.3,2079315.6,1725634.0,675291.5,687070.0
CAN,1991-01-01,981125.5,501487.3,275682.1,206181.7,204117.2,194555.5
DEU,1991-01-01,3454410.9,1928545.4,575748.7,760298.6,629538.8,569808.6
FRA,1991-01-01,2276500.5,1186173.1,573040.6,517040.1,357671.5,367216.4
GBR,1991-01-01,2009012.4,1130789.9,461381.2,373202.9,333957.0,308743.2
IRL,1991-01-01,103053.2,47890.0,22442.0,22433.6,30853.1,33827.5
