,country,date,UNEMP_rate
0,CAN,1955-01-01,4.8
1,JPN,1955-01-01,2.466667
2,USA,1955-01-01,4.733333
3,CAN,1955-04-01,4.433333
4,JPN,1955-04-01,2.5
5,USA,1955-04-01,4.4
6,CAN,1955-07-01,4.066667
7,JPN,1955-07-01,2.6
8,USA,1955-07-01,4.1
9,CAN,1955-10-01,3.833333
10,JPN,1955-10-01,2.5
11,USA,1955-10-01,4.233333
12,CAN,1956-01-01,3.7
13,JPN,1956-01-01,2.6
14,USA,1956-01-01,4.033333
15,CAN,1956-04-01,3.366667
16,JPN,1956-04-01,2.3
17,USA,1956-04-01,4.2
18,CAN,1956-07-01,3.033333
19,JPN,1956-07-01,2.133333
20,USA,1956-07-01,4.133333
21,CAN,1956-10-01,3.1
22,JPN,1956-10-01,2.166667
23,USA,1956-10-01,4.133333
24,CAN,1957-01-01,3.933333
25,JPN,1957-01-01,2.033333
26,USA,1957-01-01,3.933333
27,CAN,1957-04-01,4.133333
28,JPN,1957-04-01,1.9
29,USA,1957-04-01,4.1
30,CAN,1957-07-01,4.933333
31,JPN,1957-07-01,1.866667
32,USA,1957-07-01,4.233333
33,CAN,1957-10-01,6.0
34,JPN,1957-10-01,1.9
35,USA,1957-10-01,4.933333
36,CAN,1958-01-01,6.666667
37,JPN,1958-01-01,1.933333
38,USA,1958-01-01,6.3
39,CAN,1958-04-01,7.266667
40,JPN,1958-04-01,2.066667
41,USA,1958-04-01,7.366667
42,CAN,1958-07-01,7.366667
43,JPN,1958-07-01,2.166667
44,USA,1958-07-01,7.333333
45,CAN,1958-10-01,7.233333
46,JPN,1958-10-01,2.1
47,USA,1958-10-01,6.366667
48,CAN,1959-01-01,6.233333
49,JPN,1959-01-01,2.433333
50,USA,1959-01-01,5.833333
51,CAN,1959-04-01,5.9
52,JPN,1959-04-01,2.233333
53,USA,1959-04-01,5.1
54,CAN,1959-07-01,5.6
55,JPN,1959-07-01,2.2
56,USA,1959-07-01,5.266667
57,CAN,1959-10-01,5.766667
58,JPN,1959-10-01,1.966667
59,USA,1959-10-01,5.6
60,CAN,1960-01-01,6.333333
61,JPN,1960-01-01,1.766667
62,USA,1960-01-01,5.133333
63,CAN,1960-04-01,6.9
64,JPN,1960-04-01,1.666667
65,USA,1960-04-01,5.233333
66,CAN,1960-07-01,7.4
67,JPN,1960-07-01,1.566667
68,USA,1960-07-01,5.533333
69,CAN,1960-10-01,7.566667
70,JPN,1960-10-01,1.466667
71,USA,1960-10-01,6.266667
72,CAN,1961-01-01,7.633333
73,JPN,1961-01-01,1.433333
74,USA,1961-01-01,6.8
75,CAN,1961-04-01,7.533333
76,JPN,1961-04-01,1.466667
77,USA,1961-04-01,7.0
78,CAN,1961-07-01,6.966667
79,JPN,1961-07-01,1.433333
80,USA,1961-07-01,6.766667
81,CAN,1961-10-01,6.2
82,JPN,1961-10-01,1.433333
83,USA,1961-10-01,6.2
84,CAN,1962-01-01,6.066667
85,JPN,1962-01-01,1.3
86,USA,1962-01-01,5.633333
87,CAN,1962-04-01,5.733333
88,JPN,1962-04-01,1.3
89,USA,1962-04-01,5.533333
90,CAN,1962-07-01,5.8
91,JPN,1962-07-01,1.233333
92,USA,1962-07-01,5.566667
93,CAN,1962-10-01,5.866667
94,JPN,1962-10-01,1.333333
95,USA,1962-10-01,5.533333
96,CAN,1963-01-01,5.866667
97,JPN,1963-01-01,1.4
98,USA,1963-01-01,5.766667
99,CAN,1963-04-01,5.633333
100,JPN,1963-04-01,1.2
101,USA,1963-04-01,5.733333
102,CAN,1963-07-01,5.333333
103,JPN,1963-07-01,1.2
104,USA,1963-07-01,5.5
105,CAN,1963-10-01,5.1
106,JPN,1963-10-01,1.233333
107,USA,1963-10-01,5.566667
108,CAN,1964-01-01,4.866667
109,JPN,1964-01-01,1.233333
110,USA,1964-01-01,5.466667
111,CAN,1964-04-01,4.766667
112,JPN,1964-04-01,1.166667
113,USA,1964-04-01,5.2
114,CAN,1964-07-01,4.566667
115,JPN,1964-07-01,1.166667
116,USA,1964-07-01,5.0
117,CAN,1964-10-01,4.433333
118,JPN,1964-10-01,1.1
119,USA,1964-10-01,4.966667
120,CAN,1965-01-01,4.133333
121,JPN,1965-01-01,1.133333
122,USA,1965-01-01,4.9
123,CAN,1965-04-01,4.166667
124,JPN,1965-04-01,1.233333
125,USA,1965-04-01,4.666667
126,CAN,1965-07-01,3.766667
127,JPN,1965-07-01,1.266667
128,USA,1965-07-01,4.366667
129,CAN,1965-10-01,3.4
130,JPN,1965-10-01,1.3
131,USA,1965-10-01,4.1
132,CAN,1966-01-01,3.366667
133,JPN,1966-01-01,1.366667
134,USA,1966-01-01,3.866667
135,CAN,1966-04-01,3.1
136,JPN,1966-04-01,1.333333
137,USA,1966-04-01,3.833333
138,CAN,1966-07-01,3.433333
139,JPN,1966-07-01,1.3
140,USA,1966-07-01,3.766667
141,CAN,1966-10-01,3.4
142,JPN,1966-10-01,1.266667
143,USA,1966-10-01,3.7
144,CAN,1967-01-01,3.7
145,JPN,1967-01-01,1.3
146,USA,1967-01-01,3.833333
147,CAN,1967-04-01,3.733333
148,JPN,1967-04-01,1.266667
149,USA,1967-04-01,3.833333
150,CAN,1967-07-01,3.666667
151,JPN,1967-07-01,1.166667
152,USA,1967-07-01,3.8
153,CAN,1967-10-01,4.166667
154,JPN,1967-10-01,1.266667
155,USA,1967-10-01,3.9
156,CAN,1968-01-01,4.433333
157,JPN,1968-01-01,1.266667
158,USA,1968-01-01,3.733333
159,CAN,1968-04-01,4.533333
160,JPN,1968-04-01,1.166667
161,USA,1968-04-01,3.566667
162,CAN,1968-07-01,4.533333
163,JPN,1968-07-01,1.2
164,USA,1968-07-01,3.533333
165,CAN,1968-10-01,4.466667
166,JPN,1968-10-01,1.066667
167,USA,1968-10-01,3.4
168,CAN,1969-01-01,4.266667
169,JPN,1969-01-01,1.133333
170,USA,1969-01-01,3.4
171,CAN,1969-04-01,4.366667
172,JPN,1969-04-01,1.2
173,USA,1969-04-01,3.433333
174,CAN,1969-07-01,4.4
175,JPN,1969-07-01,1.133333
176,USA,1969-07-01,3.566667
177,CAN,1969-10-01,4.6
178,JPN,1969-10-01,1.066667
179,USA,1969-10-01,3.566667
180,CAN,1970-01-01,4.866667
181,JPN,1970-01-01,1.066667
182,USA,1970-01-01,4.166667
183,CAN,1970-04-01,5.766667
184,JPN,1970-04-01,1.133333
185,USA,1970-04-01,4.766667
186,CAN,1970-07-01,6.166667
187,JPN,1970-07-01,1.233333
188,USA,1970-07-01,5.166667
189,CAN,1970-10-01,6.1
